index,city
0,Richmond
1,Everett
2,Peoria
3,Temecula
4,Oakland
5,Rancho Cucamonga
6,Pomona
7,Santa Clara
8,Stockton
9,Saugus
10,Aurora
11,San Jose
12,Modesto
13,Boise
14,Oceanside
15,Anaheim
16,Colorado Springs
17,Salem
18,Hayward
19,Murrieta
20,Orange
21,Centennial
22,Tempe
23,Eugene
24,Santa Ana
25,Provo
26,Corona
27,Berkeley
28,Fresno
29,Elk Grove
30,Torrance
31,Escondido
32,Salt Lake City
33,Visalia
34,West Valley City
35,Scottsdale
36,Fullerton
37,Santa Rosa
38,Portland
39,Valencia
40,Ventura
41,San Francisco
42,Seattle
43,North Las Vegas
44,Antioch
45,Inglewood
46,Simi Valley
47,Vallejo
48,Palmdale
49,Tacoma
50,Chula Vista
51,Salinas
52,Spokane
53,West Covina
54,Newbury Park
55,Burbank
56,Laveen
57,San Bernardino
58,Arvada
59,Lancaster
60,El Monte
61,Vancouver
62,Mesa
63,Concord
64,Cave Creek
65,Canyon Country
66,Downey
67,Huntington Beach
68,Las Vegas
69,Carlsbad
70,Phoenix
71,Norwalk
72,Tucson
73,Ontario
74,Sacramento
75,Fontana
76,Glendale
77,Pueblo
78,Gilbert
79,San Diego
80,Fremont
81,Littleton
82,Pasadena
83,Lakewood
84,Woodland Hills
85,Chandler
86,Daly City
87,Henderson
88,Gresham
89,Bakersfield
90,Fort Collins
91,Albuquerque
92,Highland
93,Bellevue
94,Costa Mesa
95,Oxnard
96,Lennox
97,Long Beach
98,La Jolla
99,Reno
100,Irvine
101,Riverside
102,Newhall
103,Los Angeles
104,Garden Grove
105,Sunnyvale
106,Denver
107,Eastvale
108,Victorville
109,Fairfield
110,Roseville
111,Santa Clarita
112,Westminster
113,Studio City
114,Jurupa Valley
115,North Tustin
116,West Jordan
117,Thornton
118,Moreno Valley
119,Alta Loma
120,Hollywood
121,Surprise
122,Van Nuys
123,Thousand Oaks
124,El Sobrante
125,Pueblo West
126,Antelope
127,La Canada Flintridge
128,Porter Ranch
129,Phillips Ranch
130,Austin
131,Redondo Beach
132,Chatsworth
133,Sun City
134,Westlake Village
135,Bonita
136,Encino
137,Lake Balboa
