,AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,NC,NE,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI
2008-02-29,618.0,572.0,3334.0,10637.0,2808.0,2329.0,9236.0,4071.0,613.0,481.0,442.0,4285.0,1478.0,62.0,874.0,1131.0,2430.0,2025.0,2626.0,1992.0,3425.0,4275.0,537.0,554.0,719.0,9286.0,3038.0,1636.0,1613.0,5321.0,644.0,1696.0,3112.0,7544.0,1436.0,4292.0,2279.0,1029.0
2008-03-31,800.0,663.0,3975.0,13144.0,3476.0,3080.0,10878.0,4381.0,770.0,496.0,550.0,5465.0,1706.0,80.0,939.0,1335.0,2960.0,2429.0,2889.0,2395.0,3977.0,4736.0,665.0,656.0,1006.0,9968.0,3462.0,1783.0,1892.0,6451.0,836.0,2014.0,3596.0,8744.0,1659.0,5125.0,2695.0,1363.0
2008-04-30,818.0,688.0,4431.0,16200.0,3978.0,3335.0,11801.0,4483.0,859.0,659.0,536.0,5838.0,1858.0,74.0,1047.0,1395.0,3483.0,2437.0,3177.0,2724.0,4333.0,5149.0,725.0,703.0,1089.0,11138.0,3816.0,2178.0,1863.0,7324.0,912.0,2120.0,3746.0,9400.0,1846.0,5680.0,2848.0,1640.0
2008-05-31,873.0,799.0,4680.0,17989.0,4418.0,3977.0,12056.0,4735.0,762.0,729.0,572.0,6378.0,2130.0,78.0,1241.0,1565.0,4303.0,2557.0,3398.0,3230.0,5276.0,5645.0,895.0,721.0,1076.0,11950.0,4490.0,2303.0,2096.0,7788.0,1093.0,2266.0,4075.0,10431.0,1976.0,6002.0,2947.0,1966.0
2008-06-30,926.0,774.0,4419.0,18491.0,4688.0,4726.0,11985.0,4962.0,659.0,768.0,614.0,7163.0,2120.0,96.0,1254.0,1543.0,5432.0,2969.0,3567.0,3513.0,5249.0,5750.0,900.0,787.0,1046.0,13053.0,4978.0,2419.0,2062.0,8753.0,1173.0,2348.0,4103.0,10662.0,2003.0,6872.0,3049.0,2217.0
2008-07-31,911.0,785.0,4414.0,20420.0,4807.0,4480.0,11158.0,4831.0,656.0,796.0,580.0,7104.0,2154.0,82.0,1260.0,1537.0,4984.0,2279.0,3546.0,3497.0,5230.0,5338.0,813.0,724.0,1059.0,15336.0,4655.0,2516.0,2073.0,9040.0,1109.0,2322.0,4176.0,10316.0,1995.0,6429.0,2807.0,2249.0
2008-08-31,835.0,767.0,3915.0,19479.0,4153.0,4114.0,9868.0,4391.0,582.0,728.0,543.0,6716.0,2001.0,82.0,1162.0,1262.0,4890.0,2378.0,3554.0,3297.0,4789.0,4756.0,778.0,632.0,979.0,14384.0,4460.0,2377.0,1976.0,8307.0,1011.0,1982.0,3832.0,9849.0,1865.0,5878.0,2610.0,1964.0
2008-09-30,872.0,663.0,3785.0,18265.0,3948.0,3374.0,9524.0,4311.0,604.0,699.0,583.0,6008.0,1938.0,87.0,1062.0,799.0,3803.0,2239.0,3563.0,3146.0,4377.0,4161.0,749.0,609.0,1072.0,12857.0,4131.0,2209.0,1783.0,8184.0,898.0,1682.0,3338.0,8560.0,1820.0,5484.0,2539.0,1519.0
2008-10-31,718.0,622.0,3443.0,18851.0,3813.0,3351.0,9299.0,3816.0,542.0,574.0,446.0,5062.0,1511.0,88.0,953.0,974.0,3832.0,1979.0,3138.0,2513.0,3890.0,3548.0,730.0,522.0,989.0,12114.0,3574.0,2054.0,1613.0,7371.0,982.0,1540.0,3025.0,7308.0,1467.0,5175.0,2204.0,1425.0
2008-11-30,491.0,427.0,2526.0,14009.0,2457.0,2425.0,7160.0,2683.0,376.0,410.0,307.0,3423.0,1226.0,64.0,652.0,747.0,2676.0,1472.0,2332.0,1912.0,2879.0,2545.0,432.0,412.0,794.0,9357.0,2553.0,1390.0,1066.0,5251.0,709.0,1057.0,2066.0,5402.0,1081.0,3789.0,1362.0,920.0
2008-12-31,630.0,485.0,3043.0,16022.0,2467.0,2495.0,9186.0,3239.0,480.0,401.0,374.0,3602.0,1390.0,70.0,693.0,845.0,2991.0,1649.0,2214.0,1810.0,3178.0,2840.0,546.0,431.0,980.0,9825.0,2750.0,1440.0,1036.0,5584.0,701.0,1185.0,2188.0,6324.0,1209.0,4460.0,1521.0,981.0
2009-01-31,497.0,355.0,2404.0,11930.0,1819.0,1630.0,6559.0,2319.0,260.0,275.0,309.0,2448.0,929.0,62.0,488.0,757.0,1852.0,1118.0,1727.0,1419.0,2281.0,2132.0,355.0,344.0,618.0,6878.0,1749.0,982.0,747.0,3756.0,511.0,878.0,1628.0,4577.0,869.0,2924.0,989.0,589.0
