city,year_built
Abilene,46.82
Agassiz,137.0
Agua Dulce,73.0
Airport Hill,41.0
Akron,81.53
Albuquerque,37.85
Alexander,11.0
Alexandria,52.67
Allentown,88.21
Alta Loma,36.5
Amarillo,41.36
Anaheim,51.34
Anchorage,37.86
Ann Arbor,52.28
Antelope,23.0
Antioch,43.27
Apex,12.75
Archdale,18.0
Arleta,69.0
Arlington,43.98
Arvada,41.74
Athens,36.87
Atlanta,50.69
Augusta,51.23
Aurora,41.46
Austin,28.86
Bakersfield,42.93
Baltimore,91.25
Baton Rouge,28.73
Bayside,69.0
Beacon Hill,124.0
Beaumont,40.4
Bellevue,40.55
Berkeley,92.75
Billings,43.69
Birmingham,56.71
Bloomington,29.0
Bogart,37.5
Boise,33.67
Bonita,54.0
Boone,
Boston,112.79
Brentwood,24.0
Bridgeport,84.84
Brighton,48.0
Bronxville,60.0
Brooklyn,74.0
Brooklyn Park,69.5
Broomfield,29.25
Brownsville,27.53
Burbank,70.92
Caledonia,82.0
Cambridge,104.2
Cambridgeport,190.0
Campbell,61.0
Canal Winchester,18.5
Canyon Country,39.33
Carlsbad,35.7
Carnegie,123.0
Carrollton,33.92
Cary,23.46
Catonsville,83.0
Cave Creek,23.0
Cedar Rapids,55.05
Centennial,37.51
Center Point,
Chandler,26.18
Chapel Hill,22.0
Charleston,42.64
Charlestown,130.5
Charlestown's Navy Yard,103.0
Charlotte,26.87
Chatsworth,55.0
Chattanooga,49.32
Chesapeake,34.25
Cheviot,128.0
Chicago,56.06
Chinatown,124.0
Choctaw,16.0
Chugiak,25.67
Chula Vista,33.33
Cincinnati,80.23
City of Orange Township,100.0
Clarksville,29.24
Clay,24.0
Clearwater,45.93
Clearwater Beach,45.5
Cleveland,89.09
Cleveland Heights,86.0
Cockrell Hill,
Coconut Grove,21.0
Colerain Twp,64.0
College Park,35.5
Colorado Springs,39.98
Columbia,38.82
Columbus,59.82
Concord,56.22
Cooper City,28.25
Coral Springs,36.25
Corona,32.05
Corpus Christi,41.36
Costa Mesa,50.42
Cranston,93.0
Culver City,56.0
Cuyahoga Falls,30.0
Dallas,51.26
Dalworthington Gardens,33.0
Daly City,60.99
Dania Beach,52.0
Daniel Island,13.38
Dayton,66.65
Del Aire,76.0
Del Valle,15.0
Denton,27.2
Denver,48.31
Des Moines,75.58
Detroit,81.62
Devore Heights,74.0
Dexter City,
Diamond Bar,58.0
Dorchester's Ashmont,84.0
Dorchester's Meeting House Hill,103.0
Downey,63.47
Dundalk,72.0
Dunlap,8.0
Durham,34.4
Eagle River,29.58
East Boston's Orient Heights,103.0
East Cambridge,101.0
East Grand Rapids,87.5
Eastchester,5.0
Eastvale,13.5
Edina,65.0
Edinburg,7.67
Edmond,13.11
Edwards,13.0
Eight Mile,66.0
El Monte,50.63
El Paso,29.02
El Sobrante,41.0
Elgin,40.8
Elizabeth,57.0
Elizabeth City,72.0
Elk Grove,23.64
Emeryville,18.0
Encino,29.67
Englewood,36.67
Erie,77.75
Escondido,39.68
Essex,
Eugene,49.04
Evansville,60.7
Everett,53.81
Fairfield,37.64
Fairview,21.33
Fairview Park,60.0
Fargo,51.0
