city,diff lot_sqft-sqft
Abilene,16972.3
Agassiz,1026.0
Agua Dulce,192612.0
Airport Hill,21691.0
Akron,6928.74
Albuquerque,5398.05
Alexander,
Alexandria,6581.23
Allentown,3192.41
Alta Loma,15875.5
Amarillo,71368.75
Anaheim,7213.24
Anchorage,14611.43
Ann Arbor,25521.94
Antelope,3047.0
Antioch,13261.93
Apex,7047.5
Archdale,
Arleta,6165.0
Arlington,5469.76
Arvada,15453.24
Athens,37701.38
Atlanta,8279246.25
Augusta,11716.98
Aurora,4814.85
Austin,10334.94
Bakersfield,11046.82
Baltimore,5276.45
Baton Rouge,9451.58
Bayside,52166.0
Beacon Hill,-3318.0
Beaumont,29884.06
Bellevue,22622.72
Berkeley,4115.79
Billings,26636.23
Birmingham,17361.15
Bloomington,8123.0
Bogart,223723.0
Boise,9111.87
Bonita,153654.0
Boone,
Boston,-88.82
Brentwood,-1355.0
Bridgeport,3999.22
Brighton,0.0
Bronxville,26214.0
Brooklyn,2706.0
Brooklyn Park,13467.0
Broomfield,960.75
Brownsville,35759.24
Burbank,14318.0
Caledonia,39669.4
Cambridge,9497.0
Cambridgeport,1501.0
Campbell,4548.0
Canal Winchester,4696.5
Canyon Country,110014.94
Carlsbad,45667.7
Carnegie,1353.0
Carrollton,5924.68
Cary,7789.64
Catonsville,7456.0
Cave Creek,6740.0
Cedar Rapids,10884.85
Centennial,7581.94
Center Point,
Chandler,5310.87
Chapel Hill,4965.0
Charleston,63870.36
Charlestown,-713.0
Charlestown's Navy Yard,
Charlotte,7969.6
Chatsworth,29970.5
Chattanooga,13747.8
Chesapeake,17499.85
Cheviot,4043.0
Chicago,1440.0
Chinatown,
Choctaw,215446.0
Chugiak,137990.33
Chula Vista,59795.39
Cincinnati,11939.38
City of Orange Township,
Clarksville,54720.26
Clay,6680.0
Clearwater,115421.31
Clearwater Beach,
Cleveland,3652.43
Cleveland Heights,7822.0
Cockrell Hill,
Coconut Grove,
Colerain Twp,6219.0
College Park,1483.0
Colorado Springs,20930.33
Columbia,16861.7
Columbus,19502.95
Concord,7315.53
Cooper City,4807.67
Coral Springs,7583.63
Corona,5570.74
Corpus Christi,7120.46
Costa Mesa,3989.43
Cranston,1700.0
Culver City,3667.0
Cuyahoga Falls,
Dallas,65059856.25
Dalworthington Gardens,138041.0
Daly City,67093525.38
Dania Beach,1787.0
Daniel Island,4605.0
Dayton,29514.39
Del Aire,5539.0
Del Valle,3319.0
Denton,9131.2
Denver,4226.98
Des Moines,9246.87
Detroit,3518.62
Devore Heights,45754.0
Dexter City,
Diamond Bar,9491.0
Dorchester's Ashmont,0.0
Dorchester's Meeting House Hill,
Downey,18558.5
Dundalk,5501.0
Dunlap,16187.67
Durham,17113.46
Eagle River,15195.92
East Boston's Orient Heights,3648.0
East Cambridge,319.5
East Grand Rapids,3997.0
Eastchester,7693.0
Eastvale,6720.0
Edina,9858.0
Edinburg,7207.0
Edmond,5246.22
Edwards,7088.0
Eight Mile,130009.0
El Monte,30002.86
El Paso,9181.9
El Sobrante,2991.67
Elgin,19179.78
Elizabeth,
Elizabeth City,-9418.32
Elk Grove,6404.33
Emeryville,20360.0
Encino,50928.67
Englewood,3498.67
Erie,51870.84
Escondido,247610.32
Essex,
Eugene,29445.66
Evansville,34809.83
Everett,64278.43
Fairfield,6930.91
Fairview,6945.0
Fairview Park,
Fargo,9631.27
Fayetteville,15797.34
Fenton,7416.33
Flint,15175.84
Fontana,4759.89
Fort Collins,27507.16
Fort Lauderdale,6199.09
Fort Wayne,14891.39
Fort Worth,6540.36
Fortson,9296.5
Fremont,24200.33
Fresno,7626.05
Frisco,5016.76
Fullerton,5885.03
Fultondale,13204.0
Gainesville,12181.06
Galloway,12103.0
Garden City,6836.67
Garden Grove,13920.23
Garfield Heights,3554.0
Garland,51439.13
Genesee,26748.6
Gilbert,9139.69
Glendale,437748.77
Granada Hills,108907.0
Grand Prairie,8956.85
Grand Rapids,9424.35
Green Bay,15130.23
Greenfield,6201.0
Greensboro,15901.0
Gresham,17261.85
Grove City,6098.75
