tag,count
central_air,9901
laundry_room,8967
community_outdoor_space,8030
fireplace,7791
dishwasher,7672
recreation_facilities,6276
central_heat,5806
forced_air,4941
shopping,4548
hardwood_floors,4394
basement,4115
family_room,3959
view,3795
dining_room,3771
washer_dryer,3666
community_security_features,3152
community_swimming_pool,2761
floor_plan,2525
updated_kitchen,1968
city_view,1825
swimming_pool,1773
pets_allowed,1742
park,1647
modern_kitchen,1579
ensuite,1561
fenced_yard,1499
open_floor_plan,1476
rental_property,1469
corner_lot,1428
community_clubhouse,1388
big_lot,1334
den_or_office,1327
carport,1283
groundscare,1236
hill_or_mountain_view,1222
spa_or_hot_tub,1214
big_yard,1213
farm,1190
high_ceiling,1169
new_roof,1162
views,1131
master_bedroom,1094
water_view,1092
vaulted_ceiling,1058
ranch,1052
trails,1021
cul_de_sac,908
clubhouse,906
tennis_court,882
master_suite,776
