fecha,AL,AR,AZ,CA,CO,CT,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,MI,MN,MO,NC,NE,NM,NV,NY,OH,OK,OR,PA,RI,SC,TN,TX,UT,VA,WA,WI
2023-08-31,2245,1803,11574,37937,9890,8674,33430,13361,748,1683,1971,21787,3991,424,2457,2545,10463,6899,9670,8675,10178,11408,1661,1472,3417,30543,10891,4630,5332,17768,2864,6086,8814,20115,4106,17135,8197,3140
2023-09-30,2070,1766,11162,34960,9193,8148,30799,12601,774,1503,1824,20318,3715,370,2223,2389,9011,6569,9631,8051,9393,10520,1515,1371,3367,28065,10130,4310,4958,16409,2730,5561,8113,18108,3775,15957,7512,2713
2023-10-31,1995,1731,11379,35367,9018,8347,31782,12605,746,1505,1807,20476,3685,381,2207,2362,8998,6694,9574,8051,9247,10613,1508,1344,3446,28873,10091,4209,5014,16436,2756,5290,7782,17707,3740,16009,7376,2559
2023-11-30,1862,1582,10567,32132,7998,7642,29269,11459,659,1344,1601,18789,3256,316,2012,2157,8295,6326,8170,7150,8482,9550,1359,1232,3154,26538,8867,3747,4538,15504,2579,5200,7360,16049,3355,15070,6896,2258
2023-12-31,1888,1630,10777,33259,7965,7774,31610,11837,726,1326,1560,18813,3249,315,1971,2174,8160,6391,7112,6843,8451,9774,1321,1259,2878,27285,8704,3778,4511,15610,2575,5287,7174,16878,3308,15415,6535,2074
2024-01-31,1655,1454,9555,27582,6725,7088,26398,10182,514,1103,1369,16911,2554,262,1679,1959,6571,5811,6086,5986,7157,8284,1084,1100,2482,24852,7232,3261,3820,13675,2170,4310,5933,13911,2703,13646,5206,1632
2024-02-29,1795,1569,10353,28195,7072,6708,27854,11040,468,1093,1410,16841,2735,278,1736,2047,5886,5773,5465,5953,7427,8589,1087,1118,2479,22899,7466,3463,3962,13289,2077,4873,6523,15442,2911,13893,5885,1616
2024-03-31,2134,1720,12577,34642,8517,7404,33855,12725,618,1345,1704,19437,3408,361,2076,2390,7090,6434,6234,6984,8852,10359,1319,1354,3244,24846,8933,4134,4585,15275,2368,5639,7545,18089,3499,15930,6661,2270
2024-04-30,2229,1740,12282,35430,8780,7618,32830,12566,562,1457,1737,20489,3576,358,2138,2438,7589,6612,4602,7495,9308,10511,1437,1400,2831,24618,9371,4201,4697,15805,2430,5265,7523,18083,3592,16656,6914,2577
2024-05-31,2400,1838,12654,37120,9392,8092,32640,13200,532,1675,1865,21553,3939,417,2327,2638,8720,6974,3727,8220,10325,11247,1671,1480,2865,26582,10398,4646,5040,16822,2718,5970,8393,19583,4033,17736,7785,2987
2024-06-30,2451,1956,12985,39175,10554,8699,34612,14290,591,1850,2060,23254,4295,455,2540,2744,10588,7679,2037,9205,10948,12402,1802,1520,3106,29316,11353,4827,5441,18597,2999,6412,8957,21163,4311,19005,8267,3515
2024-07-31,2377,2071,12621,38898,10608,9650,35167,14397,724,1831,2118,23383,4267,463,2525,2747,10653,7373,10096,9050,10805,12307,1739,1583,3605,30585,11346,4897,5622,18643,3021,6405,9204,21562,4255,18457,8485,3387
2024-08-31,2328,2001,12038,39040,10248,9707,34756,14056,728,1749,2064,23207,4113,428,2531,2633,10797,7382,9729,9070,10579,11892,1710,1530,3405,32130,11252,4824,5623,18598,3007,6471,9155,20910,4236,18044,8572,3194
2024-09-30,2153,1964,11626,36354,9551,9158,32125,13266,750,1568,1916,21739,3832,375,2297,2477,9312,7053,9690,8417,9781,10988,1563,1429,3221,29653,10457,4504,5248,17239,2871,5793,8350,18903,3902,16866,7762,2767
2024-10-31,2078,1931,11842,36816,9375,9352,33108,13266,722,1571,1899,21896,3799,386,2281,2450,9291,7178,9633,8395,9637,11076,1556,1402,3338,30461,10410,4404,5304,17265,2897,5849,8315,18503,3868,16917,8015,2613
2024-11-30,1945,1783,11031,33526,8355,8665,30595,12149,636,1409,1694,20209,3375,321,2086,2244,8612,6810,8229,7523,8879,10021,1407,1290,2987,28126,9218,3942,4829,16333,2720,5534,7657,16845,3484,15979,7210,2312
