,RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
0,6181,New York,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457300.0,462700.0,466200.0,465600.0,469500.0,471300.0,468600.0,469500.0,470800.0,476700.0,471700.0,457000.0,447600.0,442700.0,447800.0,450900.0,459200.0,470800.0,477600.0,484300.0,482400.0,487100.0,492200.0,503200.0,498800.0,492800.0,475700.0,477100.0,480400.0,483400.0,481800.0,474600.0,483000.0,489100.0,499000.0,485700.0,481700.0,474000.0,485900.0,483900.0,481000.0,481500.0,491800.0,500500.0,500700.0,496100.0,489500.0,492300.0,493700.0,503200.0,506600.0,507300.0,508700.0,509700.0,517300.0,519300.0,522600.0,524500.0,528600.0,533300.0,538400.0,527200.0,547200.0,549900.0,560200.0,538800.0,536200.0,532900.0,528900.0,522900.0,530400.0,533600.0,536100.0,533000.0,531400.0,534000.0,534600.0,543300.0,544200.0,556500.0,552500.0,552400.0,540900.0,543100.0,544800.0,555000.0,553200.0,559400,555700,556300,547000,544300,548100,558700,560700,563100,564200,557700,561100,560100,571000.0,559800.0,563200.0,570500.0,572800.0,569900.0,560800.0,571500.0,575100.0,571700.0,568300.0,573600.0
1,12447,Los Angeles,California,2,507600.0,489600.0,463000.0,453100.0,438100.0,423200.0,407800.0,396300.0,384400.0,370500.0,356100.0,347600.0,342600.0,333900.0,325600.0,327400.0,332700.0,338700.0,342500.0,345300.0,348600.0,352300.0,359600.0,363900.0,360600.0,354100.0,351800.0,350900.0,352100.0,348300.0,350700.0,348500.0,350800.0,353400.0,350300.0,353000.0,344300.0,347400.0,342900.0,343500.0,340700.0,338600.0,336500.0,329600.0,326900.0,325300.0,326600.0,328200.0,328900.0,333300.0,331800.0,336100.0,342300.0,351200.0,361000.0,364000.0,373400.0,388900.0,398100.0,411100.0,413200.0,428000.0,436200.0,449400.0,461600.0,465600.0,469600.0,469800.0,465900.0,457600.0,446200.0,448900.0,448400.0,454800.0,456200.0,457800.0,461000.0,462500.0,466400.0,469700.0,469600.0,473800.0,474100.0,482000.0,485700.0,491700.0,489000.0,490100.0,493300.0,502700.0,503600.0,499000.0,497200.0,509100.0,518900.0,524700.0,520700.0,525900.0,530000.0,531700.0,531100.0,532100.0,537800.0,536100.0,540400.0,537900.0,548700.0,548100.0,554400.0,550900.0,556100.0,561500.0,567400.0,567900.0,572700.0,581600.0,600100.0,608300.0,611000.0,616800.0,624000,631300,629100,635300,633600,638900,642700,660300,671400,673400,680800,684300,699200,702700.0,703800.0,706800.0,711800.0,717300.0,714100.0,711900.0,718400.0,727100.0,738200.0,760200.0,
2,39051,Houston,Texas,3,138400.0,135500.0,132200.0,131000.0,133400.0,135400.0,138000.0,136400.0,133200.0,126300.0,125500.0,124100.0,127200.0,126800.0,128400.0,132500.0,137600.0,140700.0,142500.0,141400.0,140000.0,136000.0,135000.0,134900.0,136200.0,136400.0,135700.0,135000.0,131100.0,130900.0,129300.0,133400.0,136000.0,141900.0,139700.0,138100.0,133200.0,131100.0,129900.0,132100.0,133800.0,133900.0,132400.0,135200.0,137100.0,139300.0,134900.0,131300.0,131400.0,137400.0,143500.0,146100.0,145600.0,143700.0,140200.0,138300.0,141800.0,145200.0,148800.0,147600.0,147700.0,152100.0,155400.0,160100.0,161900.0,163500.0,164800.0,163800.0,165200.0,166500.0,165700.0,167800.0,167700.0,170500.0,169900.0,169000.0,169100.0,169400.0,168200.0,170400.0,168500.0,169100.0,169000.0,168400.0,170500.0,168100.0,169700.0,169700.0,172000.0,174500.0,174000.0,172500.0,170800.0,172600.0,177800.0,179000.0,177100.0,175200.0,177700.0,179500.0,181600.0,180500.0,183700.0,184700.0,187400.0,187700.0,187800.0,190200.0,192200.0,192900.0,190400.0,191600.0,189600.0,190500.0,189300.0,192000.0,193500.0,193200.0,192700.0,195200.0,196300,197800,195500,194300,195000,195300,198100,199900,203200,204000,206600,205100,206800,206200.0,210100.0,209700.0,207400.0,207600.0,207000.0,211400.0,211500.0,217700.0,219200.0,223800.0,
3,17426,Chicago,Illinois,4,325100.0,314800.0,286900.0,274600.0,268500.0,264400.0,267100.0,268400.0,259700.0,253400.0,242500.0,248100.0,244800.0,237900.0,223400.0,214600.0,216600.0,219900.0,222300.0,221900.0,225800.0,224100.0,229600.0,222400.0,218900.0,211900.0,214600.0,217800.0,206800.0,194500.0,180100.0,185400.0,190000.0,190400.0,188500.0,189400.0,186300.0,177700.0,167900.0,174700.0,182900.0,189300.0,190000.0,189800.0,180500.0,175000.0,169200.0,173400.0,171400.0,174000.0,175500.0,183800.0,188700.0,191600.0,194300.0,188300.0,187900.0,180700.0,184900.0,185400.0,188700.0,191400.0,198900.0,213600.0,223800.0,230700.0,228100.0,232600.0,230500.0,227600.0,223800.0,229800.0,231900.0,232700.0,232000.0,239900.0,239300.0,242300.0,246600.0,251200.0,250900.0,247000.0,248800.0,248900.0,250300.0,252800.0,251300.0,247200.0,238200.0,230600.0,227000.0,222200.0,212400.0,210400.0,208400.0,214800.0,211000.0,212200.0,214300.0,215800.0,219300.0,219000.0,221500.0,223900.0,231000.0,240300.0,245700.0,241800.0,236900.0,229500.0,225200.0,219800.0,216800.0,219500.0,217600.0,220900.0,221900.0,227300.0,230400.0,238500.0,247400,250000,244600,242100,248600,254400,256800,253600,256600,237600,245700,263200,290800,292000.0,276000.0,271500.0,266500.0,264900.0,265000.0,264100.0,264300.0,270000.0,281400.0,302900.0,309200.0
4,6915,San Antonio,Texas,5,130900.0,131300.0,131200.0,131500.0,131600.0,132300.0,131600.0,131800.0,130100.0,127600.0,126900.0,126700.0,129700.0,131500.0,133900.0,134500.0,135400.0,135100.0,135700.0,134500.0,133500.0,131100.0,130000.0,130500.0,130000.0,129900.0,128700.0,128600.0,128600.0,130700.0,132500.0,134800.0,136100.0,136300.0,135800.0,131600.0,130700.0,129000.0,130900.0,130700.0,130700.0,130600.0,132000.0,133000.0,132400.0,132200.0,130300.0,130900.0,131300.0,133800.0,136400.0,137700.0,138700.0,137400.0,137600.0,137700.0,138300.0,138200.0,136000.0,137400.0,139600.0,143000.0,144500.0,146200.0,147900.0,149500.0,148400.0,148800.0,148700.0,148900.0,149900.0,150700.0,152600.0,153700.0,154300.0,154400.0,154500.0,153900.0,155100.0,155600.0,157100.0,158300.0,160100.0,161600.0,162700.0,163400.0,163900.0,165200.0,165500.0,166800.0,168000.0,168300.0,166800.0,166200.0,167100.0,167300.0,169100.0,169500.0,171100.0,170300.0,172200.0,173200.0,174400.0,174300.0,174800.0,174800.0,174400.0,176100.0,175500.0,175700.0,175000.0,177600.0,176200.0,177300.0,177200.0,181300.0,182100.0,184900.0,185600.0,185700.0,185400,186000,187300,186800,186100,186300,187800,192400,194100,194200,190400,189600,191200,193300.0,196000.0,197100.0,198700.0,200200.0,200800.0,203400.0,203800.0,205400.0,205400.0,208300.0,
5,13271,Philadelphia,Pennsylvania,6,111100.0,111000.0,111500.0,109300.0,108300.0,112000.0,115000.0,115800.0,113600.0,109700.0,108100.0,101800.0,101200.0,107300.0,111400.0,113800.0,109300.0,116100.0,120800.0,123800.0,126400.0,125000.0,122200.0,113100.0,113900.0,116600.0,120400.0,118800.0,115000.0,108400.0,106300.0,101600.0,106600.0,102500.0,106600.0,104800.0,108800.0,107600.0,107100.0,107000.0,104900.0,106900.0,106500.0,107400.0,103900.0,104100.0,104300.0,101600.0,100300.0,102300.0,107600.0,106300.0,105900.0,108900.0,108400.0,105300.0,103500.0,108300.0,109900.0,107400.0,102300.0,105000.0,105300.0,109000.0,109200.0,111600.0,111400.0,113200.0,114000.0,117100.0,118100.0,117700.0,122600.0,121400.0,122300.0,117500.0,117300.0,119100.0,118200.0,119400.0,115400.0,116000.0,114300.0,110100.0,113200.0,115500.0,121000.0,119600.0,119900.0,120600.0,123000.0,124700.0,124600.0,119700.0,124700.0,122200.0,123400.0,115900.0,120500.0,121900.0,124700.0,124600.0,127000.0,123900.0,125500.0,126600.0,131100.0,134100.0,136800.0,138500.0,139800.0,141600.0,142900.0,144500.0,143800.0,143300.0,146200.0,144900.0,148500.0,140100.0,140700,135800,141200,140600,142200,140800,142200,142400,147100,150000,153000,153500,154300,156500.0,158100.0,161500.0,163500.0,162800.0,160300.0,162400.0,171600.0,177400.0,184100.0,188300.0,
6,40326,Phoenix,Arizona,7,220900.0,211500.0,202100.0,192800.0,182200.0,173100.0,165500.0,154600.0,140500.0,123400.0,107500.0,93600.0,82500.0,75800.0,73900.0,81500.0,88300.0,95600.0,96000.0,97600.0,103400.0,103700.0,103800.0,99900.0,100500.0,100100.0,100800.0,101700.0,100200.0,96400.0,93500.0,91900.0,87900.0,83400.0,84000.0,83100.0,82900.0,78900.0,78000.0,78900.0,80200.0,82800.0,85300.0,86900.0,89600.0,91800.0,89200.0,85600.0,82500.0,85600.0,93500.0,97100.0,101700.0,104200.0,107300.0,111700.0,116000.0,119100.0,122100.0,121100.0,122300.0,123000.0,127400.0,132900.0,136200.0,137400.0,137700.0,138200.0,136400.0,136200.0,135900.0,137800.0,138500.0,139500.0,138500.0,138000.0,138500.0,140300.0,143000.0,143200.0,142300.0,144300.0,143800.0,147700.0,149900.0,155700.0,159200.0,161700.0,161900.0,161700.0,161400.0,164500.0,166700.0,169100.0,168900.0,169800.0,170800.0,173000.0,174300.0,175700.0,176500.0,178900.0,181900.0,184200.0,187400.0,187700.0,189600.0,189700.0,190300.0,189300.0,189400.0,190700.0,192800.0,195000.0,196600.0,198700.0,201000.0,204800.0,209400.0,213200.0,213700,216300,215700,216800,218600,219200,220300,219500,221700,220900,222700,223300,226400,226900.0,228700.0,231100.0,231300.0,232600.0,236000.0,239900.0,243700.0,245600.0,250600.0,254700.0,
7,18959,Las Vegas,Nevada,8,244400.0,240100.0,234600.0,227200.0,218100.0,206900.0,194900.0,185100.0,175000.0,167400.0,157900.0,149600.0,141100.0,131900.0,124300.0,119500.0,118700.0,117600.0,117100.0,118500.0,119900.0,122600.0,123100.0,123500.0,123100.0,124700.0,126600.0,126200.0,123500.0,121800.0,119900.0,118700.0,117400.0,116600.0,115600.0,114000.0,110800.0,109600.0,108200.0,107500.0,105500.0,102700.0,102200.0,103100.0,104500.0,105600.0,105500.0,106500.0,108300.0,110100.0,112200.0,113700.0,115200.0,116600.0,119000.0,122400.0,127300.0,131600.0,134800.0,137100.0,138900.0,141600.0,144600.0,150400.0,154700.0,157600.0,157900.0,160400.0,162900.0,165200.0,166200.0,167100.0,168900.0,170300.0,170300.0,162600.0,162500.0,166700.0,174600.0,176200.0,175900.0,178900.0,178300.0,179300.0,179400.0,183100.0,183900.0,181100.0,183800.0,184600.0,190700.0,188900.0,191600.0,191600.0,195600.0,197700.0,197800.0,196200.0,195100.0,195300.0,195100.0,194600.0,195800.0,197900.0,199700.0,201400.0,204400.0,207300.0,212700.0,214700.0,217100.0,219300.0,222600.0,225300.0,228300.0,230700.0,233700.0,236900.0,239900.0,243800.0,245600,248400,252000,255500,256700,257700,259500,263500,264000,264400,265900,267700,269400,266600.0,266700.0,266000.0,268200.0,268400.0,270400.0,272200.0,274400.0,277500.0,278900.0,283000.0,284700.0
8,54296,San Diego,California,9,416600.0,404600.0,395500.0,381300.0,370900.0,356700.0,348500.0,335200.0,324100.0,313700.0,300100.0,302100.0,295100.0,293600.0,290400.0,306400.0,320500.0,330400.0,338500.0,344700.0,343500.0,345400.0,338800.0,341700.0,340700.0,346200.0,345200.0,342600.0,343600.0,344700.0,346900.0,350200.0,358100.0,357900.0,345200.0,335700.0,331300.0,339700.0,340200.0,335900.0,331300.0,324700.0,323100.0,323500.0,324800.0,328300.0,324100.0,323700.0,328600.0,336600.0,346300.0,349500.0,359000.0,363300.0,365100.0,368800.0,377300.0,387800.0,392700.0,394400.0,399300.0,407700.0,421200.0,425200.0,427700.0,425000.0,433200.0,434300.0,435500.0,435400.0,436900.0,438400.0,438300.0,439700.0,443200.0,444500.0,448000.0,453600.0,460000.0,467200.0,466800.0,466000.0,464700.0,473600.0,480500.0,481000.0,476200.0,475700.0,479800.0,480600.0,473300.0,470100.0,474700.0,489200.0,498300.0,497300.0,487800.0,491500.0,495400.0,501500.0,501600.0,504200.0,508200.0,517300.0,522700.0,523900.0,526600.0,535000.0,541100.0,534700.0,529200.0,534400.0,540900.0,545700.0,545000.0,550800.0,563600.0,573400.0,576100.0,573000.0,578500,584100,591000,593500,591900,592700,594800,593200,588600,583400,589300,595300,596300,598000.0,594200.0,596300.0,595300.0,600500.0,600800.0,607000.0,613300.0,618300.0,617000.0,619200.0,
9,38128,Dallas,Texas,10,148400.0,142300.0,150900.0,157300.0,164100.0,163400.0,157800.0,148100.0,142600.0,129800.0,122600.0,121400.0,128200.0,133600.0,142000.0,153300.0,162000.0,164300.0,160300.0,162900.0,163700.0,160600.0,160800.0,149200.0,153400.0,156800.0,169400.0,172600.0,167600.0,170000.0,175200.0,171200.0,169400.0,169500.0,191900.0,184500.0,174500.0,152000.0,162900.0,171400.0,177500.0,179200.0,178100.0,173200.0,163000.0,167400.0,171200.0,174700.0,176200.0,185800.0,196800.0,200000.0,211500.0,220600.0,229300.0,224800.0,212400.0,210700.0,213700.0,213200.0,214900.0,218000.0,234400.0,240800.0,241200.0,243400.0,245300.0,245900.0,243900.0,240200.0,252600.0,252000.0,245900.0,235200.0,236400.0,240700.0,240500.0,239100.0,240300.0,242500.0,238700.0,242500.0,244000.0,253400.0,258900.0,255100.0,254600.0,251200.0,255900.0,258200.0,256800.0,255500.0,254900.0,254900.0,265800.0,260200.0,267800.0,261500.0,268700.0,265700.0,263000.0,265800.0,276700.0,284100.0,288000.0,279300.0,288900.0,288700.0,289400.0,279800.0,283400.0,288500.0,287400.0,288300.0,289400.0,292800.0,291000.0,292500.0,297600.0,303300.0,304500,300100,298400,297700,301400,297600,295600,289200,292400,296200,298700,294300,287500,287800.0,293200.0,300600.0,301100.0,301500.0,310100.0,314600.0,316900.0,307100.0,321500.0,315500.0,321700.0
